Name,Liver,R-Kidney,Spleen,Pancreas,Aorta,IVC,RAG,LAG,Gallbladder,Esophagus,Stomach,Duodenum,L-Kidney
FLARETs_0048,0.973999977,0.978999972,0.957000017,0.864000022,0.938000023,0.549000025,0.824999988,0.903999984,,0.763000011,0.917999983,0.748000026,0.904999971
FLARETs_0042,0.978999972,0.207000002,0.97299999,0.901000023,0.963999987,0.93599999,0.666999996,0.805000007,0.930999994,0.871999979,0.935000002,0.289999992,0.953999996
FLARETs_0003,0.978999972,0.964999974,0.976000011,0.943000019,0.963999987,0.916999996,0.912,0.894999981,0.907999992,0.259000003,0.171000004,0.938000023,0.972000003
FLARETs_0034,0.98299998,0.980000019,0.978999972,0.933000028,0.959999979,0.953999996,0.888000011,0.890999973,0.953999996,0,0.398999989,0.908999979,0.980000019
FLARETs_0047,0.931999981,0.981999993,0.837000012,0.755999982,0.953000009,0.68599999,0.846000016,0.879999995,0.920000017,0.832000017,0.936999977,0.421999991,0.984000027
FLARETs_0005,0.981000006,0.978999972,0.97299999,0.898999989,0.958999991,0.907999992,0.617999971,0.856999993,0.908999979,0.904999971,0.970000029,0.60799998,0.414999992
FLARETs_0041,0.968999982,0.977999985,0.95599997,0.89200002,0.950999975,0.911000013,0.898999989,0.776000023,0.907999992,0.866999984,0.943000019,0.827000022,0.216000006
FLARETs_0004,0.978999972,0.967999995,0.980000019,0.93599999,0.967999995,0.816999972,0,0.758000016,0.958000004,0.934000015,0.964999974,0.88499999,0.973999977
FLARETs_0009,0.976999998,0.971000016,0.961000025,0.588,0.917999983,0.912999988,0.773000002,0.783999979,0.894999981,0.833999991,0.949999988,0.598999977,0.968999982
FLARETs_0002,0.976999998,0.963999987,0.978999972,0.851000011,0.959999979,0.846000016,0.880999982,0.88499999,0.286000013,0.837000012,0.962000012,0.795000017,0.959999979
FLARETs_0014,0.944000006,0.568000019,0.963999987,0.916999996,0.944000006,0.916000009,0.866999984,0.827000022,0.894999981,0.890999973,0.961000025,0.634000003,0.978999972
FLARETs_0040,0.985000014,0.972000003,0.981999993,0.925999999,0.966000021,0.926999986,0.896000028,0.061999999,0.94599998,0.873000026,0.958000004,0.865999997,0.971000016
FLARETs_0039,0.954999983,0.980000019,0.975000024,0.926999986,0.968999982,0.458999991,0.869000018,0.832000017,0.893000007,0.869000018,0.952000022,0.845000029,0.961000025
FLARETs_0050,0.975000024,0.976000011,0.980000019,0.86500001,0.864000022,0.917999983,0.842999995,0.870999992,0.912,0.745000005,0.917999983,0.711000025,0.97299999
FLARETs_0007,0.984000027,0.978999972,0.97299999,0.907999992,0.943000019,0.93900001,0.851999998,0.846000016,0.954999983,0.906000018,0.967999995,0.89200002,0.421999991
FLARETs_0049,0.981000006,0.973999977,0.968999982,0.920000017,0.949000001,0.933000028,0.479999989,0.896000028,0.814999998,0.853999972,0.972000003,0.852999985,0.978999972
